ACCT,Accounting,Cox School of Business,Accounting
ADPR,Artist Diploma Private Study,Meadows School of the Arts,Music
ADRE,Artist Diploma Recital,Meadows School of the Arts,Music
ADV,Advertising,Meadows School of the Arts,Temerlin Advertising
AERO,Aerospace Studies,Dedman College,Air Force ROTC
AMAE,Arts Mgmt & Arts Entrepreneur,Meadows School of the Arts,Arts Mgmt & Arts Entrepreneur
ANTH,Anthropology,Dedman College,Anthropology
APSM,Applied Physiology&Sports Mngt,Simmons School Edu & Human Dev,Applied Physiology&Sport Mngt
ARBC,Arabic,Dedman College,World Languages & Literatures
ARHS,Art History,Meadows School of the Arts,Art History
ASAG,Art - General,Meadows School of the Arts,Art
ASCE,Ceramics,Meadows School of the Arts,Art
ASDR,Drawing,Meadows School of the Arts,Art
ASIM,Digital and Hybrid Media,Meadows School of the Arts,Art
ASL,American Sign Language,Dedman College,World Languages & Literatures
ASPH,Photography,Meadows School of the Arts,Art
ASPR,Printmaking,Meadows School of the Arts,Art
ASPT,Painting,Meadows School of the Arts,Art
ASSC,Sculpture,Meadows School of the Arts,Art
BA,Business Administration,Cox School of Business,Business Administration
BAEX,International Exchange Program,Cox School of Business,International Exchange Program
BB,Bible,Perkins School of Theology,Perkins School of Theology
BHSC,Behavorial Sciences,Simmons School Edu & Human Dev,Liberal Studies
BIOL,Biological Sciences,Dedman College,Biological Sciences
BL,Business Law,Cox School of Business,Real Estate Risk Mgmt&Busn Law
BLI,Business Leadership Institute,Cox School of Business,Business Administration
BSSN,Bassoon,Meadows School of the Arts,Music
BUSE,Business Economics,Cox School of Business,Strategy & Entrepreneurship
CA,Church Administration,Perkins School of Theology,Perkins School of Theology
CCPA,Corp Comm & Public Affairs,Meadows School of the Arts,Corp Comm & Public Affairs
CE,Christian Education,Perkins School of Theology,Perkins School of Theology
CEE,Civil & Environmental Engrg,Lyle School of Engineering,Civil and Environmental Engr
CELL,Cello,Meadows School of the Arts,Music
CHEM,Chemistry,Dedman College,Chemistry
CHIN,Chinese,Dedman College,World Languages & Literatures
CISB,Caruth Inst Owner Managed Bus,Cox School of Business,Strategy & Entrepreneurship
CLAR,Clarinet,Meadows School of the Arts,Music
CLAS,Classics,Dedman College,Classical Studies
CM,Church Music,Perkins School of Theology,Perkins School of Theology
CRCP,Creative Computing,Meadows School of the Arts,Ctr of Creative Computation
CS,Computer Science,Lyle School of Engineering,Computer Science
DANC,Dance,Meadows School of the Arts,Dance
DBBS,Double Bass,Meadows School of the Arts,Music
DCAR,Dedman College Advanced Resear,Dedman College,Dedman College Adv Research
DM,Doctor of Ministry Courses,Perkins School of Theology,Perkins School of Theology
DS,Statistics & Data Science Dept,Dedman College,Statistics & Data Science Dept
DSIN,Design and Innovation,Lyle School of Engineering,Design and Innovation
ECE,Electrical and Computer Engr,Lyle School of Engineering,Electrical and Computer Engr
ECO,Economics,Dedman College,Economics
EDU,Education,Simmons School Edu & Human Dev,Education
EETS,Electrical Engr-Telecommunicat,Lyle School of Engineering,Electrical and Computer Engr
ENGL,English,Dedman College,English
ENGR,Engineering,Lyle School of Engineering,Engineering
ENSC,Environmental Sciences,Dedman College,Earth Sciences
ENST,Environmental Studies,Dedman College,Earth Sciences
EPL,Educational Policy Leadership,Simmons School Edu & Human Dev,Educational Policy Leadership
ESL,English as a Second Language,Dedman College,English as a Second Language
ETST,Ethnic Studies,Dedman College,Ethnic Studies
EUPH,Euphonium,Meadows School of the Arts,Music
